,time,temperature_2m,wind_speed_10m
151,2026-04-25T07:00,4.8,29.1
152,2026-04-25T08:00,5.5,27.9
153,2026-04-25T09:00,6.3,26.5
154,2026-04-25T10:00,7.1,25.6
155,2026-04-25T11:00,7.7,25.0
156,2026-04-25T12:00,7.9,24.7
157,2026-04-25T13:00,7.7,24.4
158,2026-04-25T14:00,7.2,24.0
159,2026-04-25T15:00,6.4,23.2
160,2026-04-25T16:00,5.7,22.6
161,2026-04-25T17:00,4.9,22.1
162,2026-04-25T18:00,4.5,21.7
163,2026-04-25T19:00,4.2,21.3
164,2026-04-25T20:00,4.2,21.0
165,2026-04-25T21:00,4.1,20.8
166,2026-04-25T22:00,4.2,20.5
167,2026-04-25T23:00,4.2,20.2
